scope,judge,task,method,corr,lo,hi,n
judge_task,gpt-4o-mini,code_explanation,pearson,0.4443,0.2984,0.5542,495
judge_task,gpt-4o-mini,data_interpretation,pearson,-0.1387,-0.3159,0.0315,490
judge_task,gpt-4o-mini,email_composition,pearson,-0.0554,-0.1765,0.0873,500
judge_task,gpt-4o-mini,text_summarization,pearson,0.0962,-0.0435,0.2227,500
judge_task,gpt-3.5-turbo,code_explanation,pearson,0.3554,0.2199,0.4779,495
judge_task,gpt-3.5-turbo,data_interpretation,pearson,-0.0365,-0.1670,0.0944,490
judge_task,gpt-3.5-turbo,email_composition,pearson,-0.1138,-0.1938,-0.0308,500
judge_task,gpt-3.5-turbo,text_summarization,pearson,-0.0939,-0.2519,0.0581,500
judge_task,qwen2p5-1b5,code_explanation,pearson,0.0027,-0.1076,0.1186,495
judge_task,qwen2p5-1b5,data_interpretation,pearson,0.0529,-0.0311,0.2001,490
judge_task,qwen2p5-1b5,email_composition,pearson,0.1688,0.0943,0.2445,500
judge_task,qwen2p5-1b5,text_summarization,pearson,-0.1706,-0.2488,-0.0969,500
judge_task,smollm2-1b7,code_explanation,pearson,0.0430,-0.0594,0.1440,491
judge_task,smollm2-1b7,data_interpretation,pearson,-0.0298,-0.1348,0.0750,485
judge_task,smollm2-1b7,email_composition,pearson,0.2777,0.1995,0.3510,500
judge_task,smollm2-1b7,text_summarization,pearson,0.1785,0.0771,0.2823,500
judge_pooled,gpt-4o-mini,ALL,pearson,-0.0887,-0.1456,-0.0337,1985
judge_pooled,gpt-3.5-turbo,ALL,pearson,-0.1771,-0.2253,-0.1243,1985
judge_pooled,qwen2p5-1b5,ALL,pearson,0.1138,0.0639,0.1633,1985
judge_pooled,smollm2-1b7,ALL,pearson,0.2338,0.1873,0.2742,1976
ensemble_task,ENSEMBLE,code_explanation,pearson,0.4556,0.3240,0.5575,495
ensemble_task,ENSEMBLE,data_interpretation,pearson,-0.0866,-0.2263,0.0474,490
ensemble_task,ENSEMBLE,email_composition,pearson,0.0953,-0.0029,0.1943,500
ensemble_task,ENSEMBLE,text_summarization,pearson,-0.0784,-0.1942,0.0326,500
ensemble_pooled,ENSEMBLE,ALL,pearson,0.0098,-0.0392,0.0571,1985
